"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",18,1,1,3,0.1,65,65,71,6,6
"2",18,1,2,3,0.1,65,65,57,8,6
"3",18,1,3,3,0.1,65,65,78,13,6
"4",18,2,1,3,1000,51,55,75,20,6
"5",18,2,2,3,1000,51,67,82,15,6
"6",18,2,3,3,1000,51,33,65,32,6
"7",18,3,1,3,1000,39,70,66,4,6
"8",18,3,2,3,1000,39,54,67,13,6
"9",18,3,3,3,1000,39,41,67,26,6
"10",18,4,1,3,1,24,23,65,42,5
"11",18,4,2,3,1,24,24,72,48,5
"12",18,4,3,3,1,24,23,78,55,5
"13",18,5,1,3,100,60,65,76,11,6
"14",18,5,2,3,100,60,54,82,28,6
"15",18,5,3,3,100,60,70,78,8,6
"16",18,6,1,3,100,75,84,80,4,7
"17",18,6,2,3,100,75,72,75,3,7
"18",18,6,3,3,100,75,68,85,17,7
"19",18,7,1,3,100,58,54,73,19,6
"20",18,7,2,3,100,58,63,81,18,6
"21",18,7,3,3,100,58,43,67,24,6
"22",18,8,1,3,10,78,76,79,3,6
"23",18,8,2,3,10,78,76,84,8,6
"24",18,8,3,3,10,78,77,81,4,6
"25",18,9,1,3,0.1,50,50,75,25,5
"26",18,9,2,3,0.1,50,50,75,25,5
"27",18,9,3,3,0.1,50,51,78,27,5
"28",18,10,1,3,100,24,33,81,48,6
"29",18,10,2,3,100,24,31,71,40,6
"30",18,10,3,3,100,24,26,77,51,6
"31",18,11,1,3,1000,69,41,80,39,6
"32",18,11,2,3,1000,69,38,80,42,6
"33",18,11,3,3,1000,69,33,90,57,6
"34",18,12,1,3,1000,40,14,78,64,5
"35",18,12,2,3,1000,40,85,75,10,5
"36",18,12,3,3,1000,40,49,72,23,5
"37",18,13,1,3,0.1,71,71,81,10,5
"38",18,13,2,3,0.1,71,71,79,8,5
"39",18,13,3,3,0.1,71,71,76,5,5
"40",18,14,1,3,1,76,75,71,4,5
"41",18,14,2,3,1,76,76,79,3,5
"42",18,14,3,3,1,76,76,77,1,5
"43",18,15,1,3,100,38,27,79,52,5
"44",18,15,2,3,100,38,47,81,34,5
"45",18,15,3,3,100,38,30,76,46,5
"46",18,16,1,3,10,20,24,77,53,5
"47",18,16,2,3,10,20,26,78,52,5
"48",18,16,3,3,10,20,21,77,56,5
"49",18,17,1,3,1,46,44,34,10,6
"50",18,17,2,3,1,46,47,76,29,6
"51",18,17,3,3,1,46,46,87,41,6
"52",18,18,1,2,1,71,72,80,8,5
"53",18,18,2,2,1,71,68,73,5,5
