"","totalmachines","machines","trials","rounds","variance","mean","value","guess","difference","funrating"
"1",13,1,1,4,1000,76,71,62,9,2
"2",13,1,2,4,1000,76,47,63,16,2
"3",13,1,3,4,1000,76,96,54,42,2
"4",13,1,4,4,1000,76,46,70,24,2
"5",13,2,1,7,1000,42,61,61,0,3
"6",13,2,2,7,1000,42,35,60,25,3
"7",13,2,3,7,1000,42,27,53,26,3
"8",13,2,4,7,1000,42,29,54,25,3
"9",13,2,5,7,1000,42,37,47,10,3
"10",13,2,6,7,1000,42,63,46,17,3
"11",13,2,7,7,1000,42,90,51,39,3
"12",13,3,1,21,10,56,60,65,5,6
"13",13,3,2,21,10,56,62,61,1,6
"14",13,3,3,21,10,56,59,61,2,6
"15",13,3,4,21,10,56,60,60,0,6
"16",13,3,5,21,10,56,56,60,4,6
"17",13,3,6,21,10,56,57,61,4,6
"18",13,3,7,21,10,56,53,62,9,6
"19",13,3,8,21,10,56,53,60,7,6
"20",13,3,9,21,10,56,55,59,4,6
"21",13,3,10,21,10,56,56,60,4,6
"22",13,3,11,21,10,56,60,61,1,6
"23",13,3,12,21,10,56,54,56,2,6
"24",13,3,13,21,10,56,56,63,7,6
"25",13,3,14,21,10,56,56,62,6,6
"26",13,3,15,21,10,56,56,60,4,6
"27",13,3,16,21,10,56,54,55,1,6
"28",13,3,17,21,10,56,57,55,2,6
"29",13,3,18,21,10,56,54,54,0,6
"30",13,3,19,21,10,56,55,65,10,6
"31",13,3,20,21,10,56,53,57,4,6
"32",13,3,21,21,10,56,58,62,4,6
"33",13,4,1,6,100,44,45,74,29,4
"34",13,4,2,6,100,44,51,49,2,4
"35",13,4,3,6,100,44,46,51,5,4
"36",13,4,4,6,100,44,60,44,16,4
"37",13,4,5,6,100,44,42,52,10,4
"38",13,4,6,6,100,44,38,47,9,4
"39",13,5,1,8,1,29,30,57,27,3
"40",13,5,2,8,1,29,28,32,4,3
"41",13,5,3,8,1,29,30,31,1,3
"42",13,5,4,8,1,29,31,39,8,3
"43",13,5,5,8,1,29,27,31,4,3
"44",13,5,6,8,1,29,30,26,4,3
"45",13,5,7,8,1,29,30,31,1,3
"46",13,5,8,8,1,29,27,29,2,3
"47",13,6,1,3,1000,69,80,69,11,1
"48",13,6,2,3,1000,69,96,75,21,1
"49",13,6,3,3,1000,69,53,89,36,1
"50",13,7,1,4,100,69,53,32,21,3
"51",13,7,2,4,100,69,72,33,39,3
"52",13,7,3,4,100,69,67,77,10,3
"53",13,7,4,4,100,69,87,63,24,3
"54",13,8,1,20,0.1,28,28,55,27,7
"55",13,8,2,20,0.1,28,28,25,3,7
"56",13,8,3,20,0.1,28,28,21,7,7
"57",13,8,4,20,0.1,28,28,27,1,7
"58",13,8,5,20,0.1,28,28,26,2,7
"59",13,8,6,20,0.1,28,28,28,0,7
"60",13,8,7,20,0.1,28,28,27,1,7
"61",13,8,8,20,0.1,28,28,30,2,7
"62",13,8,9,20,0.1,28,28,28,0,7
"63",13,8,10,20,0.1,28,28,28,0,7
"64",13,8,11,20,0.1,28,28,28,0,7
"65",13,8,12,20,0.1,28,28,28,0,7
"66",13,8,13,20,0.1,28,28,28,0,7
"67",13,8,14,20,0.1,28,28,28,0,7
"68",13,8,15,20,0.1,28,28,28,0,7
"69",13,8,16,20,0.1,28,28,28,0,7
"70",13,8,17,20,0.1,28,28,28,0,7
"71",13,8,18,20,0.1,28,28,28,0,7
"72",13,8,19,20,0.1,28,28,28,0,7
"73",13,8,20,20,0.1,28,28,28,0,7
"74",13,9,1,9,100,31,26,62,36,3
"75",13,9,2,9,100,31,24,27,3,3
"76",13,9,3,9,100,31,42,19,23,3
"77",13,9,4,9,100,31,39,36,3,3
"78",13,9,5,9,100,31,32,38,6,3
"79",13,9,6,9,100,31,25,34,9,3
"80",13,9,7,9,100,31,32,29,3,3
"81",13,9,8,9,100,31,40,27,13,3
"82",13,9,9,9,100,31,17,37,20,3
"83",13,10,1,24,1000,47,91,37,54,6
"84",13,10,2,24,1000,47,51,83,32,6
"85",13,10,3,24,1000,47,69,79,10,6
"86",13,10,4,24,1000,47,72,73,1,6
"87",13,10,5,24,1000,47,11,85,74,6
"88",13,10,6,24,1000,47,11,65,54,6
"89",13,10,7,24,1000,47,27,12,15,6
"90",13,10,8,24,1000,47,91,33,58,6
"91",13,10,9,24,1000,47,78,78,0,6
"92",13,10,10,24,1000,47,93,68,25,6
"93",13,10,11,24,1000,47,26,28,2,6
"94",13,10,12,24,1000,47,11,81,70,6
"95",13,10,13,24,1000,47,80,55,25,6
"96",13,10,14,24,1000,47,63,27,36,6
"97",13,10,15,24,1000,47,48,8,40,6
"98",13,10,16,24,1000,47,89,1,88,6
"99",13,10,17,24,1000,47,27,60,33,6
"100",13,10,18,24,1000,47,69,31,38,6
"101",13,10,19,24,1000,47,55,40,15,6
"102",13,10,20,24,1000,47,34,66,32,6
"103",13,10,21,24,1000,47,100,70,30,6
"104",13,10,22,24,1000,47,84,19,65,6
"105",13,10,23,24,1000,47,47,71,24,6
"106",13,10,24,24,1000,47,49,20,29,6
"107",13,11,1,15,0.1,49,49,68,19,3
"108",13,11,2,15,0.1,49,49,39,10,3
"109",13,11,3,15,0.1,49,49,33,16,3
"110",13,11,4,15,0.1,49,49,45,4,3
