Id,Title,Solved?,Author,Difficulty,Liked,Disliked,Like-Dislike
13259,Radius,,axorion,?,0,0,0
13258,Radius,,axorion,?,0,0,0
13257,butterfly,,1234alberto,2.33,4,0,4
13256,ENGR101(Iteration),,engr101group,1.60,5,-1,4
13255,Tailhook,,axorion,2.25,3,0,3
13254,Example,,ESPgroup5,1.14,4,-1,3
13253,Engr 101 - Function Calls,,hsdag,1.17,2,-1,1
13252,Engr 101 - Brandon Wolski,,hsdag,1.50,1,-1,0
13251,Karate Man,,etmervic123,3.00,1,-1,0
13250,Steve,,ENGR101G3,1.50,1,-1,0
13249,The Right Task For The Job,,kyleinth,2.33,0,0,0
13248,Double tour,,kroustof,1.67,4,0,4
13247,Paint,,J_Three,1.50,1,0,1
13246,Pain,,J_Three,2.25,2,-2,0
13245,Iteration and selection,,J_Three,2.00,5,-1,4
13244,Mr Jolly,,engr101_g6,2.00,2,-1,1
13243,Iteration ,,J_Three,2.00,4,-1,3
13242,two way arrow,,uicgroup3,2.00,1,-1,0
13241,Stripes ,,Group3,1.60,2,-3,-1
13240,Iteration G3,,Group3,1.00,6,-2,4
13239,Easy Selection,,Group3,1.00,5,-4,1
13238,two way call,,ENGR101G3,1.75,3,-1,2
13237,BlankFace,,ENGR101G3,1.00,2,-5,-3
13236,Swoosh,,syedhh2,1.14,3,-1,2
13230,snake,,BruhMachine,1.00,2,-3,-1
13221,two stair case,,ESPgroup5,1.86,5,-1,4
13214,FunctionCall,,uicgroup3,1.14,4,-2,2
13206,Red turn-Selectiom,,ENGR101G3,1.60,1,0,1
13203,:whale2: challenge test,,whale,2.33,3,0,3
13202,ESP group 5 challenge puzzle 2,,ESPgroup5,1.75,1,-1,0
13201,Group_2_iteration,,garyzhangxd,1.00,2,-4,-2
13199,Group_04_Selection,,hsdag,1.00,1,-2,-1
13184,Hmm2,,whale,3.00,3,-1,2
13164,Unsquared,,group5engr101,1.71,3,-1,2
13163,Cross Walk,,Engr101group99,1.75,2,0,2
13162,Joshua_Martinez_Puzzle,,whale,2.00,2,-1,1
13161,"Puzzle 5: function calls, selection",,2pm_group3_uic,1.50,2,-1,1
13160,"Puzzle 5: Function calls, Selection",,2pm_group3_uic,1.50,1,-1,0
13159,Spam Functions,,syedhh2,1.50,1,-1,0
13158,IM bad at this,,etmervic123,1.50,2,-1,1
13157,Painter's Paradise,,kyleinth,1.40,1,-1,0
13156,Simple Iteration,,hsdag,1.40,1,-1,0
13155,maze,,etmervic123,1.29,4,-5,-1
13154,Challenge #1 - Group 5,,group5,2.00,1,-1,0
13153,"A new ally, or a new storm?",,hsdag,2.50,1,0,1
13152,"...No, no, that was a dead end.",,2pm_group3_uic,3.00,2,0,2
13151,Challenge Puzzle #2,,group5,1.25,1,-1,0
13146,Question Mark,,BruhMachine,1.75,0,-1,-1
13145,Galaga,,Engr101group99,1.00,3,-4,-1
13144,Figure 8,,BruhMachine,1.00,1,-3,-2
13143,Stair with colors,,kyleinth,1.25,0,-1,-1
